itemId,chunkFile,chunkIndex,clinical_focus,rationaleSource,rationaleInjected,rationaleTopicSnippet,exactIdMatch,placeholderBefore
nexus_clinical_judgment_1776516084040_468_xsbj,data-bank/questions/q-chunk-002.json,32,Major Depressive Disorder,INJECTED,true,Option B directly addresses acute pain and nausea. Other opt,true,true
nexus_clinical_judgment_1776516264620_64_dlea,data-bank/questions/q-chunk-002.json,33,Wound Infection,INJECTED,true,A is unsafe. C avoids ambulation. D delays recovery. B is th,true,true
nexus_clinical_judgment_1776516395605_195_eyrg,data-bank/questions/q-chunk-002.json,39,Burns,INJECTED,true,The correct response is supported by the client’s Burns pres,true,true
nexus_gen_evaluate_outcomes_1776453478300_7_hjiyi,data-bank/questions/q-chunk-002.json,40,Liver Failure / Cirrhosis,INJECTED,true,Pain reduction to an acceptable level (3/10) with comfort in,true,true
nexus_gen_evaluate_outcomes_1776453023399_363_82jon,data-bank/questions/q-chunk-002.json,41,Heart Failure,INJECTED,true,Reassessing pain provides critical data to guide subsequent ,true,true
nexus_clinical_judgment_1776516534466_336_hxyf,data-bank/questions/q-chunk-002.json,42,Anaphylaxis,INJECTED,true,The safest priority is B: Assist patient with a partial bed ,true,true
nexus_gen_evaluate_outcomes_1776452733621_429_bfw2u,data-bank/questions/q-chunk-002.json,44,HIV / AIDS Complications,INJECTED,true,Option B demonstrates successful adherence to hip precaution,true,true
271c914a-d3d9-4cde-b1ad-0388f6ed9c24,data-bank/questions/q-chunk-002.json,49,Acute Coronary Syndrome / MI,INJECTED,true,ST-segment elevation on the ECG (option A) is a hallmark sig,true,true
nexus_clinical_judgment_1776516099773_482_ktxi,data-bank/questions/q-chunk-003.json,2,Major Depressive Disorder,INJECTED,true,Option B is crucial for evaluating opioid effectiveness and ,true,true
nexus_gen_evaluate_outcomes_1776453482263_182_jfv3p,data-bank/questions/q-chunk-003.json,3,Medication Error / Overdose,INJECTED,true,Option B demonstrates effective pain control by reducing pai,true,true
nexus_gen_evaluate_outcomes_1776453305574_123_r1dnm,data-bank/questions/q-chunk-003.json,5,Bowel Obstruction,INJECTED,true,"Passing flatus directly indicates peristalsis has resumed, w",true,true
nexus_clinical_judgment_1776516115998_494_kpcf,data-bank/questions/q-chunk-003.json,6,Meningitis (Adult),INJECTED,true,The safest priority is B: Administer Furosemide 40mg IV stat,true,true
nexus_analyze_cues_1776515047381_245_thks,data-bank/questions/q-chunk-003.json,10,Tuberculosis,INJECTED,true,"Option B addresses uncontrolled pain, the highest priority. ",true,true
nexus_clinical_judgment_1776516027992_406_mcxe,data-bank/questions/q-chunk-003.json,11,Transfusion Reaction,INJECTED,true,"A: Not first for new symptom. C: Assess first. D: Important,",true,true
nexus_clinical_judgment_1776516359189_158_eagm,data-bank/questions/q-chunk-003.json,14,Bipolar Disorder,INJECTED,true,"A: Premature, risks over-sedation. Assess non-pharm first. B",true,true
nexus_analyze_cues_1776514870572_69_amio,data-bank/questions/q-chunk-003.json,17,Acute Coronary Syndrome / MI,INJECTED,true,Option B is priority. Re-evaluating pain after medication is,true,true
nexus_gen_evaluate_outcomes_1776452157487_181_czz5s,data-bank/questions/q-chunk-003.json,20,Acute Coronary Syndrome / MI,INJECTED,true,Option B reflects appropriate understanding of lifestyle cha,true,true
8936c17c-0971-4872-9a58-dabcc7b46372,data-bank/questions/q-chunk-003.json,22,Sepsis / Septic Shock,PRESERVED_EXISTING_FINAL,false,Sepsis is a life-threatening organ dysfunction caused by a d,true,false
6e197717-f57e-4e25-9e50-edbeaa516aac,data-bank/questions/q-chunk-003.json,23,Stroke / CVA,INJECTED,true,"In a client suspected of having an acute ischemic stroke, ab",true,true
nexus_clinical_judgment_1776516057626_436_ufhi,data-bank/questions/q-chunk-003.json,30,Sickle Cell Crisis,INJECTED,true,Option B addresses critical preventative measure often overl,true,true
nexus_analyze_cues_1776515009900_212_quct,data-bank/questions/q-chunk-003.json,34,Bowel Obstruction,INJECTED,true,Option B is the priority to gather more data before interven,true,true
nexus_gen_generate_solutions_1776452476539_9_jjbg1,data-bank/questions/q-chunk-003.json,36,Bowel Obstruction,INJECTED,true,Notifying the provider is critical as these symptoms suggest,true,true
nexus_clinical_judgment_1776516141554_525_cpee,data-bank/questions/q-chunk-003.json,38,Liver Failure / Cirrhosis,INJECTED,true,"B ensures readiness for new patient. A, C, D are important b",true,true
nexus_clinical_judgment_1776516516886_318_hdsj,data-bank/questions/q-chunk-003.json,43,Increased ICP / Head Injury,INJECTED,true,Option B is best as it balances assistance with promoting pa,true,true
nexus_gen_evaluate_outcomes_1776452878315_159_0ugn5,data-bank/questions/q-chunk-003.json,44,Burns,INJECTED,true,A blood glucose of 120 mg/dL is within target for a rapid-ac,true,true
nexus_gen_evaluate_outcomes_1776452874782_104_38l7s,data-bank/questions/q-chunk-003.json,45,Parkinson's Disease,INJECTED,true,A fasting blood glucose within the target range (70-130 mg/d,true,true
nexus_gen_evaluate_outcomes_1776453478781_53_bbw48,data-bank/questions/q-chunk-004.json,0,Chronic Kidney Disease,INJECTED,true,Pain reduction to 2/10 and improved function (ambulation) in,true,true
nexus_generate_solutions_1776514764537_339_hzmu,data-bank/questions/q-chunk-004.json,1,Increased ICP / Head Injury,INJECTED,true,"Option B prioritizes assessment and communication, crucial f",true,true
nexus_generate_solutions_1776514770946_347_pkyb,data-bank/questions/q-chunk-004.json,2,Sickle Cell Crisis,INJECTED,true,The safest priority is B: Poor skin turgor and dry mucous me,true,true
nexus_generate_solutions_1776514588805_169_owis,data-bank/questions/q-chunk-004.json,4,Post-op Cholecystectomy,INJECTED,true,"A: IV push potassium is extremely dangerous, causing cardiac",true,true
nexus_gen_evaluate_outcomes_1776453023083_346_vo3ar,data-bank/questions/q-chunk-004.json,5,Postoperative Pain / Complication Evaluation,INJECTED,true,Option B demonstrates effective pain control with a low pain,true,true
nexus_clinical_judgment_1776516414411_214_zini,data-bank/questions/q-chunk-004.json,6,Major Depressive Disorder,INJECTED,true,The safest priority is B: Reposition the patient every 2 hou,true,true
nexus_analyze_cues_1776515009121_209_xecu,data-bank/questions/q-chunk-004.json,7,Post-op Cholecystectomy,INJECTED,true,Option B is an assessment that helps gather more data regard,true,true
nexus_clinical_judgment_1776516254744_50_tagj,data-bank/questions/q-chunk-004.json,12,Parkinson's Disease,INJECTED,true,"The safest priority is B: Reposition, offer back rub, dim li",true,true
nexus_analyze_cues_1776515034820_233_rpkn,data-bank/questions/q-chunk-004.json,17,Multiple Sclerosis,INJECTED,true,"A: Addresses a symptom, not the underlying cause. B: Correct",true,true
nexus_gen_analyze_cues_1776452641824_229_m2dkw,data-bank/questions/q-chunk-004.json,18,Postoperative Pain / Complication Evaluation,INJECTED,true,Bowel sounds provide key data to analyze cues related to GI ,true,true
nexus_gen_analyze_cues_1776452638720_189_bis7n,data-bank/questions/q-chunk-004.json,26,Sickle Cell Crisis,INJECTED,true,"Hypokalemia can cause life-threatening cardiac dysrhythmias,",true,true
ai_calcul_af2afe84,data-bank/questions/q-chunk-004.json,27,Postoperative Pain / Complication Evaluation,INJECTED,true,The correct infusion rate is determined by dividing the tota,true,true
nexus_gen_analyze_cues_1776452639309_192_ji62i,data-bank/questions/q-chunk-004.json,29,Postoperative Pain / Complication Evaluation,INJECTED,true,Absent pulse and coolness are critical signs of arterial occ,true,true
nexus_gen_analyze_cues_1776452642065_264_2dt9k,data-bank/questions/q-chunk-004.json,32,Surgical Site Infection / Wound Infection,INJECTED,true,"Purulent drainage is a critical sign of infection, necessita",true,true
nexus_generate_solutions_1776514780710_364_wurm,data-bank/questions/q-chunk-004.json,45,Bowel Obstruction,INJECTED,true,A: Risk of over-sedation. C: Premature. D: Not primary. B: C,true,true
nexus_multip_chartexh_f797,data-bank/questions/q-chunk-004.json,47,Multiple Organ Dysfunction Syndrome (MODS) secondary to Septic Shock,PRESERVED_EXISTING_FINAL,false,Correct answer: B — Arterial blood gas (ABG) showing a pH of,true,false
nexus_generate_solutions_1776514789777_371_upil,data-bank/questions/q-chunk-004.json,48,GI Bleed (Upper/Lower),INJECTED,true,The correct response is supported by the client’s GI Bleed (,true,true
nexus_analyze_cues_1776514896692_96_dlvp,data-bank/questions/q-chunk-005.json,0,Wound Infection,INJECTED,true,Option B directly addresses severe pain. Others are supporti,true,true
nexus_generate_solutions_1776514542175_123_wksb,data-bank/questions/q-chunk-005.json,1,Bowel Obstruction,INJECTED,true,"A: Masks symptoms. C: Important, not priority before assessm",true,true
nexus_multip_hypocalc_5ad2,data-bank/questions/q-chunk-005.json,3,Hypocalcemia post-total thyroidectomy,PRESERVED_EXISTING_FINAL,false,Correct answer: B — Notify the healthcare provider immediate,true,false
nexus_analyze_cues_1776514804988_7_irhv,data-bank/questions/q-chunk-005.json,4,Pneumonia,INJECTED,true,Option B addresses the immediate need for bowel rest. Other ,true,true
nexus_analyze_cues_1776514808797_2_ooyn,data-bank/questions/q-chunk-005.json,5,Increased ICP / Head Injury,INJECTED,true,Assessing respiratory status detects opioid-induced respirat,true,true
nexus_gen_evaluate_outcomes_1776452878132_133_geefw,data-bank/questions/q-chunk-005.json,6,Increased ICP / Head Injury,INJECTED,true,Providing fast-acting carbohydrates is the immediate and app,true,true
nexus_analyze_cues_1776514831539_28_znsz,data-bank/questions/q-chunk-005.json,9,Heart Failure,INJECTED,true,Severe hypokalemia (Option B) is critical with HF/furosemide,true,true
nexus_clinical_judgment_1776516557500_356_ronm,data-bank/questions/q-chunk-005.json,10,HIV / AIDS Complications,INJECTED,true,The safest priority is B: Assist the patient to the commode.,true,true
nexus_analyze_cues_1776514849810_43_bgth,data-bank/questions/q-chunk-005.json,12,Acute Kidney Injury (AKI),INJECTED,true,The safest priority is B: Review recent serum electrolyte le,true,true
nexus_analyze_cues_1776514881591_81_heun,data-bank/questions/q-chunk-005.json,15,Spinal Cord Injury,INJECTED,true,Option B aligns with Analyze Cues. Prioritizes data collecti,true,true
nexus_analyze_cues_1776514888789_86_nxnu,data-bank/questions/q-chunk-005.json,18,Hypoglycemia,INJECTED,true,The safest priority is B: Prepare for administration of IV i,true,true
nexus_analyze_cues_1776514899471_101_xodk,data-bank/questions/q-chunk-005.json,19,HIV / AIDS Complications,PRESERVED_EXISTING_FINAL,false,Correct answer: B — Assess for abdominal distension and tend,true,false
nexus_analyze_cues_1776514908613_112_ysmi,data-bank/questions/q-chunk-005.json,21,Heart Failure,INJECTED,true,Option B prioritizes assessing for underlying causes of pain,true,true
nexus_analyze_cues_1776515027297_227_oopg,data-bank/questions/q-chunk-005.json,37,Post-op Cholecystectomy,INJECTED,true,"Option B assesses for critical, life-threatening complicatio",true,true
nexus_analyze_cues_1776515023412_226_djyj,data-bank/questions/q-chunk-005.json,40,Chronic Kidney Disease,INJECTED,true,Option B ensures patient safety during IV potassium administ,true,true
32be666b-6d0f-4f26-8999-7a0d46b63f50,data-bank/questions/q-chunk-005.json,41,Postoperative Pain / Complication Evaluation,PRESERVED_EXISTING_FINAL,false,"Correct answer: A, B, D, F — Blood pressure 178/68 mmHg; Hea",true,false
nexus_analyze_cues_1776514935180_135_jtso,data-bank/questions/q-chunk-005.json,43,Acute Kidney Injury (AKI),INJECTED,true,Option B is priority. Addresses critical issue: potential bo,true,true
nexus_analyze_cues_1776515037345_235_srlf,data-bank/questions/q-chunk-005.json,44,HIV / AIDS Complications,INJECTED,true,"B is critical for cardiac assessment. A, D not immediate. C ",true,true
nexus_clinical_judgment_1776516230656_28_wzln,data-bank/questions/q-chunk-005.json,45,Meningitis (Adult),INJECTED,true,"The safest priority is B: Assist Sarah to the shower, ensuri",true,true
nexus_analyze_cues_1776515063703_264_qbef,data-bank/questions/q-chunk-005.json,47,Wound Infection,INJECTED,true,Option B is correct. The cues indicate a serious post-operat,true,true
nexus_gen_evaluate_outcomes_1776452719045_165_84hmt,data-bank/questions/q-chunk-006.json,3,Stroke / CVA,PRESERVED_EXISTING_FINAL,false,Correct answer: B — Client participates in physical therapy ,true,false
nexus_clinical_judgment_1776516405547_203_qqbq,data-bank/questions/q-chunk-006.json,4,Medication Error / Overdose,PRESERVED_EXISTING_FINAL,false,"Correct answer: B — Assist with a partial bath, encourage se",true,false
nexus_clinical_judgment_1776515811937_175_lywx,data-bank/questions/q-chunk-006.json,5,Thyroid Storm,INJECTED,true,"B addresses immediate safety. A, C are not acute needs. D is",true,true
nexus_gen_generate_solutions_1776452484024_314_3xcvy,data-bank/questions/q-chunk-006.json,6,Liver Failure / Cirrhosis,PRESERVED_EXISTING_FINAL,false,Correct answer: B — Notify the healthcare provider immediate,true,false
nexus_gen_evaluate_outcomes_1776453012156_8_tqc59,data-bank/questions/q-chunk-006.json,9,Total Knee Replacement,PRESERVED_EXISTING_FINAL,false,"Correct answer: B — 08:00

Why this is correct: 08:00 shows ",true,false
nexus_clinical_judgment_1776516430180_234_gwbp,data-bank/questions/q-chunk-006.json,10,Sickle Cell Crisis,INJECTED,true,Opioids help pain but don't address positioning. Cold packs ,true,true
nexus_clinical_judgment_1776516335955_130_flqt,data-bank/questions/q-chunk-006.json,17,Burns,PRESERVED_EXISTING_FINAL,false,Correct answer: B — Administer prescribed analgesic; re-eval,true,false
nexus_clinical_judgment_1776516330002_128_krdo,data-bank/questions/q-chunk-006.json,18,HIV / AIDS Complications,INJECTED,true,The safest priority is B: Implement a scheduled toileting pr,true,true
nexus_clinical_judgment_1776516660549_463_rioj,data-bank/questions/q-chunk-006.json,20,Thyroid Storm,INJECTED,true,"The safest priority is B: Provide partial bed bath, assist w",true,true
nexus_multip_new_a539,data-bank/questions/q-chunk-006.json,25,Acute Myocardial Infarction (AMI),PRESERVED_EXISTING_FINAL,false,Correct answer: B — Apply oxygen via nasal cannula at 2-4 L/,true,false
nexus_calcul_v26_3309,data-bank/questions/q-chunk-006.json,27,Acute Coronary Syndrome (ACS) / Nitroglycerin Drip Management,INJECTED,true,This scenario requires the nurse to perform a critical medic,true,true
nexus_multip_new_b643,data-bank/questions/q-chunk-006.json,28,Ischemic Stroke (Cerebrovascular Accident - CVA),INJECTED,true,"The client's sudden onset of neurological deficits, includin",true,true
nexus_multip_hyperkal_3a78,data-bank/questions/q-chunk-006.json,35,Hyperkalemia treatments and emergency management,PRESERVED_EXISTING_FINAL,false,Correct answer: B — Administer intravenous (IV) calcium gluc,true,false
nexus_generate_solutions_1776514655932_237_hsfp,data-bank/questions/q-chunk-006.json,36,Preeclampsia / Eclampsia,INJECTED,true,The safest priority is B: Offer 4 oz orange juice or glucose,true,true
nexus_gen_evaluate_outcomes_1776451933517_114_g93yc,data-bank/questions/q-chunk-006.json,37,Burns,PRESERVED_EXISTING_FINAL,false,"Correct answer: A — Client reports passing flatus.

Why this",true,false
nexus_calcul_ngn_c0ec,data-bank/questions/q-chunk-006.json,38,Severe Preeclampsia,PRESERVED_EXISTING_FINAL,false,Updated clinical rationale.,true,false
nexus_clinical_judgment_1776515915781_291_qvbu,data-bank/questions/q-chunk-006.json,39,Sickle Cell Crisis,PRESERVED_EXISTING_FINAL,false,Correct answer: B — Educate patient on wound care and signs ,true,false
nexus_clinical_judgment_1776515764502_125_vwyf,data-bank/questions/q-chunk-006.json,44,Liver Failure / Cirrhosis,INJECTED,true,"A: Pain relief is important, but discharge readiness assessm",true,true
nexus_gen_evaluate_outcomes_1776452719457_186_w653p,data-bank/questions/q-chunk-006.json,46,Postoperative Pain / Complication Evaluation,PRESERVED_EXISTING_FINAL,false,Correct answer: B — Assess the client's pain level again in ,true,false
nexus_analyze_cues_1776515047914_248_pqyf,data-bank/questions/q-chunk-006.json,48,Post-op Cholecystectomy,INJECTED,true,Not voiding post-Foley is critical. Other cues are expected ,true,true
nexus_generate_solutions_1776514499812_87_ilxj,data-bank/questions/q-chunk-007.json,3,Transfusion Reaction,INJECTED,true,"B directly addresses pain. A, C, D are less immediate or app",true,true
nexus_gen_evaluate_outcomes_1776451933842_79_5904b,data-bank/questions/q-chunk-007.json,6,Thyroid Storm,PRESERVED_EXISTING_FINAL,false,Correct answer: B — Demonstrates proper technique for emptyi,true,false
nexus_gen_evaluate_outcomes_1776451937286_162_lheul,data-bank/questions/q-chunk-007.json,12,Pneumonia / Oxygenation,PRESERVED_EXISTING_FINAL,false,Correct answer: B — The patient's SpO2 is now 96% on room ai,true,false
nexus_gen_evaluate_outcomes_1776451937313_189_nd1yq,data-bank/questions/q-chunk-007.json,15,Major Depressive Disorder,PRESERVED_EXISTING_FINAL,false,Correct answer: B — The ileostomy produces 1200 mL of liquid,true,false
nexus_gen_evaluate_outcomes_1776451940777_210_qs2yf,data-bank/questions/q-chunk-007.json,17,Chronic Kidney Disease,PRESERVED_EXISTING_FINAL,false,"Correct answer: B — Serum potassium level of 3.8 mEq/L.

Why",true,false
nexus_gen_evaluate_outcomes_1776451941135_269_9wfhb,data-bank/questions/q-chunk-007.json,18,Wound Infection,PRESERVED_EXISTING_FINAL,false,Correct answer: B — Serum creatinine 1.0 mg/dL (88.4 mcmol/L,true,false
nexus_gen_evaluate_outcomes_1776451941008_247_yef5t,data-bank/questions/q-chunk-007.json,20,Renal / Fluid-Electrolyte Balance,INJECTED,true,Low urine output is a direct indicator of inadequate renal p,true,true
nexus_gen_evaluate_outcomes_1776451941341_283_mgnuc,data-bank/questions/q-chunk-007.json,22,Acute Coronary Syndrome / MI,PRESERVED_EXISTING_FINAL,false,Correct answer: B — Report any chest pain that is unrelieved,true,false
nexus_gen_evaluate_outcomes_1776451944083_305_vui0q,data-bank/questions/q-chunk-007.json,23,Renal / Fluid-Electrolyte Balance,PRESERVED_EXISTING_FINAL,false,Correct answer: B — Notify the provider of the urine output.,true,false
nexus_gen_evaluate_outcomes_1776452066093_4_e8kmu,data-bank/questions/q-chunk-007.json,24,Wound Infection,PRESERVED_EXISTING_FINAL,false,Correct answer: B — The incision site is approximated with m,true,false
nexus_gen_evaluate_outcomes_1776451944555_339_nt9ey,data-bank/questions/q-chunk-007.json,25,Acute Coronary Syndrome / MI,PRESERVED_EXISTING_FINAL,false,Correct answer: B — Passes flatus and reports a desire to ea,true,false
nexus_gen_evaluate_outcomes_1776451945064_371_mhtv9,data-bank/questions/q-chunk-007.json,26,Renal / Fluid-Electrolyte Balance,PRESERVED_EXISTING_FINAL,false,Correct answer: B — Notify the healthcare provider of the ur,true,false
nexus_gen_evaluate_outcomes_1776453477976_5_07x62,data-bank/questions/q-chunk-007.json,28,Wound Infection,PRESERVED_EXISTING_FINAL,false,Correct answer: B — Client rates pain as 3/10 and is resting,true,false
nexus_gen_evaluate_outcomes_1776453478577_26_mjea7,data-bank/questions/q-chunk-007.json,29,Acute Kidney Injury (AKI),PRESERVED_EXISTING_FINAL,false,Correct answer: B — Client rates pain as 3/10 and is resting,true,false
nexus_gen_evaluate_outcomes_1776453478278_39_nuq7d,data-bank/questions/q-chunk-007.json,31,Meningitis (Adult),PRESERVED_EXISTING_FINAL,false,Correct answer: B — Client reports being able to ambulate to,true,false
nexus_gen_evaluate_outcomes_1776453478377_52_77r14,data-bank/questions/q-chunk-007.json,33,HIV / AIDS Complications,INJECTED,true,Pain reduction to a tolerable level (3/10) and improved func,true,true
nexus_gen_evaluate_outcomes_1776453011503_160_mydgx,data-bank/questions/q-chunk-007.json,34,Postoperative Pain / Complication Evaluation,INJECTED,true,Notifying the provider is essential when current pain manage,true,true
nexus_analyze_cues_1776514807629_9_cejo,data-bank/questions/q-chunk-007.json,37,Post-op Cholecystectomy,INJECTED,true,Reassessing pain evaluates medication effectiveness and dete,true,true
